"year","month","job","level","turnover_rate"
1,12,"People Analyst",3,5.6
2,12,"People Analyst",3,7.1
3,12,"People Analyst",3,8.6
4,12,"People Analyst",3,10.1
5,12,"People Analyst",3,11.6
1,1,"Visualization Specialist",3,12.1
2,1,"Visualization Specialist",3,13.6
3,1,"Visualization Specialist",3,15.1
4,1,"Visualization Specialist",3,16.6
5,1,"Visualization Specialist",3,18.1
1,2,"Visualization Specialist",3,16.6
2,2,"Visualization Specialist",3,18.1
3,2,"Visualization Specialist",3,19.6
4,2,"Visualization Specialist",3,21.1
5,2,"Visualization Specialist",3,22.6
1,3,"Visualization Specialist",3,20.1
2,3,"Visualization Specialist",3,21.6
3,3,"Visualization Specialist",3,23.1
4,3,"Visualization Specialist",3,24.6
5,3,"Visualization Specialist",3,26.1
1,4,"Visualization Specialist",3,22.6
2,4,"Visualization Specialist",3,24.1
3,4,"Visualization Specialist",3,25.6
4,4,"Visualization Specialist",3,27.1
5,4,"Visualization Specialist",3,28.6
1,5,"Visualization Specialist",3,24.1
2,5,"Visualization Specialist",3,25.6
3,5,"Visualization Specialist",3,27.1
4,5,"Visualization Specialist",3,28.6
5,5,"Visualization Specialist",3,30.1
1,6,"Visualization Specialist",3,24.6
2,6,"Visualization Specialist",3,26.1
3,6,"Visualization Specialist",3,27.6
4,6,"Visualization Specialist",3,29.1
5,6,"Visualization Specialist",3,30.6
1,7,"Visualization Specialist",3,24.1
2,7,"Visualization Specialist",3,25.6
3,7,"Visualization Specialist",3,27.1
4,7,"Visualization Specialist",3,28.6
5,7,"Visualization Specialist",3,30.1
1,8,"Visualization Specialist",3,22.6
2,8,"Visualization Specialist",3,24.1
3,8,"Visualization Specialist",3,25.6
4,8,"Visualization Specialist",3,27.1
5,8,"Visualization Specialist",3,28.6
1,9,"Visualization Specialist",3,20.1
2,9,"Visualization Specialist",3,21.6
3,9,"Visualization Specialist",3,23.1
4,9,"Visualization Specialist",3,24.6
5,9,"Visualization Specialist",3,26.1
1,10,"Visualization Specialist",3,16.6
2,10,"Visualization Specialist",3,18.1
3,10,"Visualization Specialist",3,19.6
4,10,"Visualization Specialist",3,21.1
5,10,"Visualization Specialist",3,22.6
1,11,"Visualization Specialist",3,12.1
2,11,"Visualization Specialist",3,13.6
3,11,"Visualization Specialist",3,15.1
4,11,"Visualization Specialist",3,16.6
5,11,"Visualization Specialist",3,18.1
1,12,"Visualization Specialist",3,6.6
2,12,"Visualization Specialist",3,8.1
3,12,"Visualization Specialist",3,9.6
4,12,"Visualization Specialist",3,11.1
5,12,"Visualization Specialist",3,12.6
1,1,"Insights Consultant",3,12.6
2,1,"Insights Consultant",3,14.1
3,1,"Insights Consultant",3,15.6
4,1,"Insights Consultant",3,17.1
5,1,"Insights Consultant",3,18.6
1,2,"Insights Consultant",3,17.1
2,2,"Insights Consultant",3,18.6
3,2,"Insights Consultant",3,20.1
4,2,"Insights Consultant",3,21.6
5,2,"Insights Consultant",3,23.1
1,3,"Insights Consultant",3,20.6
2,3,"Insights Consultant",3,22.1
3,3,"Insights Consultant",3,23.6
4,3,"Insights Consultant",3,25.1
5,3,"Insights Consultant",3,26.6
1,4,"Insights Consultant",3,23.1
2,4,"Insights Consultant",3,24.6
3,4,"Insights Consultant",3,26.1
4,4,"Insights Consultant",3,27.6
5,4,"Insights Consultant",3,29.1
1,5,"Insights Consultant",3,24.6
2,5,"Insights Consultant",3,26.1
3,5,"Insights Consultant",3,27.6
4,5,"Insights Consultant",3,29.1
5,5,"Insights Consultant",3,30.6
1,6,"Insights Consultant",3,25.1
2,6,"Insights Consultant",3,26.6
3,6,"Insights Consultant",3,28.1
4,6,"Insights Consultant",3,29.6
5,6,"Insights Consultant",3,31.1
1,7,"Insights Consultant",3,24.6
2,7,"Insights Consultant",3,26.1
3,7,"Insights Consultant",3,27.6
4,7,"Insights Consultant",3,29.1
5,7,"Insights Consultant",3,30.6
1,8,"Insights Consultant",3,23.1
2,8,"Insights Consultant",3,24.6
3,8,"Insights Consultant",3,26.1
4,8,"Insights Consultant",3,27.6
5,8,"Insights Consultant",3,29.1
1,9,"Insights Consultant",3,20.6
2,9,"Insights Consultant",3,22.1
3,9,"Insights Consultant",3,23.6
4,9,"Insights Consultant",3,25.1
5,9,"Insights Consultant",3,26.6
1,10,"Insights Consultant",3,17.1
2,10,"Insights Consultant",3,18.6
3,10,"Insights Consultant",3,20.1
4,10,"Insights Consultant",3,21.6
5,10,"Insights Consultant",3,23.1
1,11,"Insights Consultant",3,12.6
2,11,"Insights Consultant",3,14.1
3,11,"Insights Consultant",3,15.6
4,11,"Insights Consultant",3,17.1
5,11,"Insights Consultant",3,18.6
1,12,"Insights Consultant",3,7.1
2,12,"Insights Consultant",3,8.6
3,12,"Insights Consultant",3,10.1
4,12,"Insights Consultant",3,11.6
5,12,"Insights Consultant",3,13.1
1,1,"People Scientist",4,5.8
2,1,"People Scientist",4,7.3
3,1,"People Scientist",4,8.8
4,1,"People Scientist",4,10.3
5,1,"People Scientist",4,11.8
1,2,"People Scientist",4,10.3
2,2,"People Scientist",4,11.8
3,2,"People Scientist",4,13.3
4,2,"People Scientist",4,14.8
5,2,"People Scientist",4,16.3
1,3,"People Scientist",4,13.8
2,3,"People Scientist",4,15.3
3,3,"People Scientist",4,16.8
4,3,"People Scientist",4,18.3
5,3,"People Scientist",4,19.8
1,4,"People Scientist",4,16.3
2,4,"People Scientist",4,17.8
3,4,"People Scientist",4,19.3
4,4,"People Scientist",4,20.8
5,4,"People Scientist",4,22.3
1,5,"People Scientist",4,17.8
2,5,"People Scientist",4,19.3
3,5,"People Scientist",4,20.8
4,5,"People Scientist",4,22.3
5,5,"People Scientist",4,23.8
1,6,"People Scientist",4,18.3
2,6,"People Scientist",4,19.8
3,6,"People Scientist",4,21.3
4,6,"People Scientist",4,22.8
5,6,"People Scientist",4,24.3
1,7,"People Scientist",4,17.8
2,7,"People Scientist",4,19.3
3,7,"People Scientist",4,20.8
4,7,"People Scientist",4,22.3
5,7,"People Scientist",4,23.8
1,8,"People Scientist",4,16.3
2,8,"People Scientist",4,17.8
3,8,"People Scientist",4,19.3
4,8,"People Scientist",4,20.8
5,8,"People Scientist",4,22.3
1,9,"People Scientist",4,13.8
2,9,"People Scientist",4,15.3
3,9,"People Scientist",4,16.8
4,9,"People Scientist",4,18.3
5,9,"People Scientist",4,19.8
1,10,"People Scientist",4,10.3
2,10,"People Scientist",4,11.8
3,10,"People Scientist",4,13.3
4,10,"People Scientist",4,14.8
5,10,"People Scientist",4,16.3
1,11,"People Scientist",4,5.8
2,11,"People Scientist",4,7.3
3,11,"People Scientist",4,8.8
4,11,"People Scientist",4,10.3
5,11,"People Scientist",4,11.8
1,12,"People Scientist",4,0.3
2,12,"People Scientist",4,1.8
3,12,"People Scientist",4,3.3
4,12,"People Scientist",4,4.8
5,12,"People Scientist",4,6.3
1,1,"Data Engineer",4,12.3
2,1,"Data Engineer",4,13.8
3,1,"Data Engineer",4,15.3
4,1,"Data Engineer",4,16.8
5,1,"Data Engineer",4,18.3
1,2,"Data Engineer",4,16.8
2,2,"Data Engineer",4,18.3
3,2,"Data Engineer",4,19.8
4,2,"Data Engineer",4,21.3
5,2,"Data Engineer",4,22.8
1,3,"Data Engineer",4,20.3
2,3,"Data Engineer",4,21.8
3,3,"Data Engineer",4,23.3
4,3,"Data Engineer",4,24.8
5,3,"Data Engineer",4,26.3
1,4,"Data Engineer",4,22.8
2,4,"Data Engineer",4,24.3
3,4,"Data Engineer",4,25.8
4,4,"Data Engineer",4,27.3
5,4,"Data Engineer",4,28.8
1,5,"Data Engineer",4,24.3
2,5,"Data Engineer",4,25.8
3,5,"Data Engineer",4,27.3
4,5,"Data Engineer",4,28.8
5,5,"Data Engineer",4,30.3
1,6,"Data Engineer",4,24.8
2,6,"Data Engineer",4,26.3
3,6,"Data Engineer",4,27.8
4,6,"Data Engineer",4,29.3
5,6,"Data Engineer",4,30.8
1,7,"Data Engineer",4,24.3
2,7,"Data Engineer",4,25.8
3,7,"Data Engineer",4,27.3
4,7,"Data Engineer",4,28.8
5,7,"Data Engineer",4,30.3
1,8,"Data Engineer",4,22.8
2,8,"Data Engineer",4,24.3
3,8,"Data Engineer",4,25.8
4,8,"Data Engineer",4,27.3
5,8,"Data Engineer",4,28.8
1,9,"Data Engineer",4,20.3
2,9,"Data Engineer",4,21.8
3,9,"Data Engineer",4,23.3
4,9,"Data Engineer",4,24.8
5,9,"Data Engineer",4,26.3
1,10,"Data Engineer",4,16.8
2,10,"Data Engineer",4,18.3
3,10,"Data Engineer",4,19.8
4,10,"Data Engineer",4,21.3
5,10,"Data Engineer",4,22.8
1,11,"Data Engineer",4,12.3
2,11,"Data Engineer",4,13.8
3,11,"Data Engineer",4,15.3
4,11,"Data Engineer",4,16.8
5,11,"Data Engineer",4,18.3
1,12,"Data Engineer",4,6.8
2,12,"Data Engineer",4,8.3
3,12,"Data Engineer",4,9.8
4,12,"Data Engineer",4,11.3
5,12,"Data Engineer",4,12.8
1,1,"People Analyst",4,10.8
2,1,"People Analyst",4,12.3
3,1,"People Analyst",4,13.8
4,1,"People Analyst",4,15.3
5,1,"People Analyst",4,16.8
1,2,"People Analyst",4,15.3
2,2,"People Analyst",4,16.8
3,2,"People Analyst",4,18.3
4,2,"People Analyst",4,19.8
5,2,"People Analyst",4,21.3
1,3,"People Analyst",4,18.8
2,3,"People Analyst",4,20.3
3,3,"People Analyst",4,21.8
4,3,"People Analyst",4,23.3
5,3,"People Analyst",4,24.8
1,4,"People Analyst",4,21.3
2,4,"People Analyst",4,22.8
3,4,"People Analyst",4,24.3
4,4,"People Analyst",4,25.8
5,4,"People Analyst",4,27.3
1,5,"People Analyst",4,22.8
2,5,"People Analyst",4,24.3
3,5,"People Analyst",4,25.8
4,5,"People Analyst",4,27.3
5,5,"People Analyst",4,28.8
1,6,"People Analyst",4,23.3
2,6,"People Analyst",4,24.8
3,6,"People Analyst",4,26.3
4,6,"People Analyst",4,27.8
5,6,"People Analyst",4,29.3
1,7,"People Analyst",4,22.8
2,7,"People Analyst",4,24.3
3,7,"People Analyst",4,25.8
4,7,"People Analyst",4,27.3
5,7,"People Analyst",4,28.8
1,8,"People Analyst",4,21.3
2,8,"People Analyst",4,22.8
3,8,"People Analyst",4,24.3
4,8,"People Analyst",4,25.8
5,8,"People Analyst",4,27.3
1,9,"People Analyst",4,18.8
2,9,"People Analyst",4,20.3
3,9,"People Analyst",4,21.8
4,9,"People Analyst",4,23.3
5,9,"People Analyst",4,24.8
1,10,"People Analyst",4,15.3
2,10,"People Analyst",4,16.8
3,10,"People Analyst",4,18.3
4,10,"People Analyst",4,19.8
5,10,"People Analyst",4,21.3
1,11,"People Analyst",4,10.8
2,11,"People Analyst",4,12.3
3,11,"People Analyst",4,13.8
4,11,"People Analyst",4,15.3
5,11,"People Analyst",4,16.8
1,12,"People Analyst",4,5.3
2,12,"People Analyst",4,6.8
3,12,"People Analyst",4,8.3
4,12,"People Analyst",4,9.8
5,12,"People Analyst",4,11.3
1,1,"Visualization Specialist",4,11.8
2,1,"Visualization Specialist",4,13.3
3,1,"Visualization Specialist",4,14.8
4,1,"Visualization Specialist",4,16.3
5,1,"Visualization Specialist",4,17.8
1,2,"Visualization Specialist",4,16.3
2,2,"Visualization Specialist",4,17.8
3,2,"Visualization Specialist",4,19.3
4,2,"Visualization Specialist",4,20.8
5,2,"Visualization Specialist",4,22.3
1,3,"Visualization Specialist",4,19.8
2,3,"Visualization Specialist",4,21.3
3,3,"Visualization Specialist",4,22.8
4,3,"Visualization Specialist",4,24.3
5,3,"Visualization Specialist",4,25.8
1,4,"Visualization Specialist",4,22.3
2,4,"Visualization Specialist",4,23.8
3,4,"Visualization Specialist",4,25.3
4,4,"Visualization Specialist",4,26.8
5,4,"Visualization Specialist",4,28.3
1,5,"Visualization Specialist",4,23.8
2,5,"Visualization Specialist",4,25.3
3,5,"Visualization Specialist",4,26.8
4,5,"Visualization Specialist",4,28.3
5,5,"Visualization Specialist",4,29.8
1,6,"Visualization Specialist",4,24.3
2,6,"Visualization Specialist",4,25.8
3,6,"Visualization Specialist",4,27.3
4,6,"Visualization Specialist",4,28.8
5,6,"Visualization Specialist",4,30.3
1,7,"Visualization Specialist",4,23.8
2,7,"Visualization Specialist",4,25.3
3,7,"Visualization Specialist",4,26.8
4,7,"Visualization Specialist",4,28.3
5,7,"Visualization Specialist",4,29.8
1,8,"Visualization Specialist",4,22.3
2,8,"Visualization Specialist",4,23.8
3,8,"Visualization Specialist",4,25.3
4,8,"Visualization Specialist",4,26.8
5,8,"Visualization Specialist",4,28.3
1,9,"Visualization Specialist",4,19.8
2,9,"Visualization Specialist",4,21.3
3,9,"Visualization Specialist",4,22.8
4,9,"Visualization Specialist",4,24.3
5,9,"Visualization Specialist",4,25.8
1,10,"Visualization Specialist",4,16.3
2,10,"Visualization Specialist",4,17.8
3,10,"Visualization Specialist",4,19.3
4,10,"Visualization Specialist",4,20.8
5,10,"Visualization Specialist",4,22.3
1,11,"Visualization Specialist",4,11.8
2,11,"Visualization Specialist",4,13.3
3,11,"Visualization Specialist",4,14.8
4,11,"Visualization Specialist",4,16.3
5,11,"Visualization Specialist",4,17.8
1,12,"Visualization Specialist",4,6.3
2,12,"Visualization Specialist",4,7.8
3,12,"Visualization Specialist",4,9.3
4,12,"Visualization Specialist",4,10.8
5,12,"Visualization Specialist",4,12.3
1,1,"Insights Consultant",4,12.3
2,1,"Insights Consultant",4,13.8
3,1,"Insights Consultant",4,15.3
4,1,"Insights Consultant",4,16.8
5,1,"Insights Consultant",4,18.3
1,2,"Insights Consultant",4,16.8
2,2,"Insights Consultant",4,18.3
3,2,"Insights Consultant",4,19.8
4,2,"Insights Consultant",4,21.3
5,2,"Insights Consultant",4,22.8
1,3,"Insights Consultant",4,20.3
2,3,"Insights Consultant",4,21.8
3,3,"Insights Consultant",4,23.3
4,3,"Insights Consultant",4,24.8
5,3,"Insights Consultant",4,26.3
1,4,"Insights Consultant",4,22.8
2,4,"Insights Consultant",4,24.3
3,4,"Insights Consultant",4,25.8
4,4,"Insights Consultant",4,27.3
5,4,"Insights Consultant",4,28.8
1,5,"Insights Consultant",4,24.3
2,5,"Insights Consultant",4,25.8
3,5,"Insights Consultant",4,27.3
4,5,"Insights Consultant",4,28.8
5,5,"Insights Consultant",4,30.3
1,6,"Insights Consultant",4,24.8
2,6,"Insights Consultant",4,26.3
3,6,"Insights Consultant",4,27.8
4,6,"Insights Consultant",4,29.3
5,6,"Insights Consultant",4,30.8
1,7,"Insights Consultant",4,24.3
2,7,"Insights Consultant",4,25.8
3,7,"Insights Consultant",4,27.3
4,7,"Insights Consultant",4,28.8
5,7,"Insights Consultant",4,30.3
1,8,"Insights Consultant",4,22.8
2,8,"Insights Consultant",4,24.3
3,8,"Insights Consultant",4,25.8
4,8,"Insights Consultant",4,27.3
5,8,"Insights Consultant",4,28.8
1,9,"Insights Consultant",4,20.3
2,9,"Insights Consultant",4,21.8
3,9,"Insights Consultant",4,23.3
4,9,"Insights Consultant",4,24.8
5,9,"Insights Consultant",4,26.3
1,10,"Insights Consultant",4,16.8
2,10,"Insights Consultant",4,18.3
3,10,"Insights Consultant",4,19.8
4,10,"Insights Consultant",4,21.3
5,10,"Insights Consultant",4,22.8
1,11,"Insights Consultant",4,12.3
2,11,"Insights Consultant",4,13.8
3,11,"Insights Consultant",4,15.3
4,11,"Insights Consultant",4,16.8
5,11,"Insights Consultant",4,18.3
1,12,"Insights Consultant",4,6.8
2,12,"Insights Consultant",4,8.3
3,12,"Insights Consultant",4,9.8
4,12,"Insights Consultant",4,11.3
5,12,"Insights Consultant",4,12.8
1,1,"People Scientist",5,5.5
2,1,"People Scientist",5,7
3,1,"People Scientist",5,8.5
4,1,"People Scientist",5,10
5,1,"People Scientist",5,11.5
1,2,"People Scientist",5,10
2,2,"People Scientist",5,11.5
3,2,"People Scientist",5,13
4,2,"People Scientist",5,14.5
5,2,"People Scientist",5,16
1,3,"People Scientist",5,13.5
2,3,"People Scientist",5,15
3,3,"People Scientist",5,16.5
4,3,"People Scientist",5,18
5,3,"People Scientist",5,19.5
1,4,"People Scientist",5,16
2,4,"People Scientist",5,17.5
3,4,"People Scientist",5,19
4,4,"People Scientist",5,20.5
5,4,"People Scientist",5,22
1,5,"People Scientist",5,17.5
2,5,"People Scientist",5,19
3,5,"People Scientist",5,20.5
4,5,"People Scientist",5,22
5,5,"People Scientist",5,23.5
1,6,"People Scientist",5,18
2,6,"People Scientist",5,19.5
3,6,"People Scientist",5,21
4,6,"People Scientist",5,22.5
5,6,"People Scientist",5,24
1,7,"People Scientist",5,17.5
2,7,"People Scientist",5,19
3,7,"People Scientist",5,20.5
4,7,"People Scientist",5,22
5,7,"People Scientist",5,23.5
1,8,"People Scientist",5,16
2,8,"People Scientist",5,17.5
3,8,"People Scientist",5,19
4,8,"People Scientist",5,20.5
5,8,"People Scientist",5,22
1,9,"People Scientist",5,13.5
2,9,"People Scientist",5,15
3,9,"People Scientist",5,16.5
4,9,"People Scientist",5,18
5,9,"People Scientist",5,19.5
1,10,"People Scientist",5,10
2,10,"People Scientist",5,11.5
3,10,"People Scientist",5,13
4,10,"People Scientist",5,14.5
5,10,"People Scientist",5,16
1,11,"People Scientist",5,5.5
2,11,"People Scientist",5,7
3,11,"People Scientist",5,8.5
4,11,"People Scientist",5,10
5,11,"People Scientist",5,11.5
1,12,"People Scientist",5,0
2,12,"People Scientist",5,1.5
3,12,"People Scientist",5,3
4,12,"People Scientist",5,4.5
5,12,"People Scientist",5,6
1,1,"Data Engineer",5,12
2,1,"Data Engineer",5,13.5
3,1,"Data Engineer",5,15
4,1,"Data Engineer",5,16.5
5,1,"Data Engineer",5,18
1,2,"Data Engineer",5,16.5
2,2,"Data Engineer",5,18
3,2,"Data Engineer",5,19.5
4,2,"Data Engineer",5,21
5,2,"Data Engineer",5,22.5
1,3,"Data Engineer",5,20
2,3,"Data Engineer",5,21.5
3,3,"Data Engineer",5,23
4,3,"Data Engineer",5,24.5
5,3,"Data Engineer",5,26
1,4,"Data Engineer",5,22.5
2,4,"Data Engineer",5,24
3,4,"Data Engineer",5,25.5
4,4,"Data Engineer",5,27
5,4,"Data Engineer",5,28.5
1,5,"Data Engineer",5,24
2,5,"Data Engineer",5,25.5
3,5,"Data Engineer",5,27
4,5,"Data Engineer",5,28.5
5,5,"Data Engineer",5,30
1,6,"Data Engineer",5,24.5
2,6,"Data Engineer",5,26
3,6,"Data Engineer",5,27.5
4,6,"Data Engineer",5,29
5,6,"Data Engineer",5,30.5
1,7,"Data Engineer",5,24
2,7,"Data Engineer",5,25.5
3,7,"Data Engineer",5,27
4,7,"Data Engineer",5,28.5
5,7,"Data Engineer",5,30
1,8,"Data Engineer",5,22.5
2,8,"Data Engineer",5,24
3,8,"Data Engineer",5,25.5
4,8,"Data Engineer",5,27
5,8,"Data Engineer",5,28.5
1,9,"Data Engineer",5,20
2,9,"Data Engineer",5,21.5
3,9,"Data Engineer",5,23
4,9,"Data Engineer",5,24.5
5,9,"Data Engineer",5,26
1,10,"Data Engineer",5,16.5
2,10,"Data Engineer",5,18
3,10,"Data Engineer",5,19.5
4,10,"Data Engineer",5,21
5,10,"Data Engineer",5,22.5
1,11,"Data Engineer",5,12
2,11,"Data Engineer",5,13.5
3,11,"Data Engineer",5,15
4,11,"Data Engineer",5,16.5
5,11,"Data Engineer",5,18
1,12,"Data Engineer",5,6.5
2,12,"Data Engineer",5,8
3,12,"Data Engineer",5,9.5
4,12,"Data Engineer",5,11
5,12,"Data Engineer",5,12.5
1,1,"People Analyst",5,10.5
2,1,"People Analyst",5,12
3,1,"People Analyst",5,13.5
4,1,"People Analyst",5,15
5,1,"People Analyst",5,16.5
1,2,"People Analyst",5,15
2,2,"People Analyst",5,16.5
3,2,"People Analyst",5,18
4,2,"People Analyst",5,19.5
5,2,"People Analyst",5,21
1,3,"People Analyst",5,18.5
2,3,"People Analyst",5,20
3,3,"People Analyst",5,21.5
4,3,"People Analyst",5,23
5,3,"People Analyst",5,24.5
1,4,"People Analyst",5,21
2,4,"People Analyst",5,22.5
3,4,"People Analyst",5,24
4,4,"People Analyst",5,25.5
5,4,"People Analyst",5,27
1,5,"People Analyst",5,22.5
2,5,"People Analyst",5,24
3,5,"People Analyst",5,25.5
4,5,"People Analyst",5,27
5,5,"People Analyst",5,28.5
1,6,"People Analyst",5,23
2,6,"People Analyst",5,24.5
3,6,"People Analyst",5,26
4,6,"People Analyst",5,27.5
5,6,"People Analyst",5,29
1,7,"People Analyst",5,22.5
2,7,"People Analyst",5,24
3,7,"People Analyst",5,25.5
4,7,"People Analyst",5,27
5,7,"People Analyst",5,28.5
1,8,"People Analyst",5,21
2,8,"People Analyst",5,22.5
3,8,"People Analyst",5,24
4,8,"People Analyst",5,25.5
5,8,"People Analyst",5,27
1,9,"People Analyst",5,18.5
2,9,"People Analyst",5,20
3,9,"People Analyst",5,21.5
4,9,"People Analyst",5,23
5,9,"People Analyst",5,24.5
1,10,"People Analyst",5,15
2,10,"People Analyst",5,16.5
3,10,"People Analyst",5,18
4,10,"People Analyst",5,19.5
5,10,"People Analyst",5,21
1,11,"People Analyst",5,10.5
2,11,"People Analyst",5,12
3,11,"People Analyst",5,13.5
4,11,"People Analyst",5,15
5,11,"People Analyst",5,16.5
1,12,"People Analyst",5,5
2,12,"People Analyst",5,6.5
3,12,"People Analyst",5,8
4,12,"People Analyst",5,9.5
5,12,"People Analyst",5,11
1,1,"Visualization Specialist",5,11.5
2,1,"Visualization Specialist",5,13
3,1,"Visualization Specialist",5,14.5
4,1,"Visualization Specialist",5,16
5,1,"Visualization Specialist",5,17.5
1,2,"Visualization Specialist",5,16
2,2,"Visualization Specialist",5,17.5
3,2,"Visualization Specialist",5,19
4,2,"Visualization Specialist",5,20.5
5,2,"Visualization Specialist",5,22
1,3,"Visualization Specialist",5,19.5
2,3,"Visualization Specialist",5,21
3,3,"Visualization Specialist",5,22.5
4,3,"Visualization Specialist",5,24
5,3,"Visualization Specialist",5,25.5
1,4,"Visualization Specialist",5,22
2,4,"Visualization Specialist",5,23.5
3,4,"Visualization Specialist",5,25
4,4,"Visualization Specialist",5,26.5
5,4,"Visualization Specialist",5,28
1,5,"Visualization Specialist",5,23.5
2,5,"Visualization Specialist",5,25
3,5,"Visualization Specialist",5,26.5
4,5,"Visualization Specialist",5,28
5,5,"Visualization Specialist",5,29.5
1,6,"Visualization Specialist",5,24
2,6,"Visualization Specialist",5,25.5
3,6,"Visualization Specialist",5,27
4,6,"Visualization Specialist",5,28.5
5,6,"Visualization Specialist",5,30
1,7,"Visualization Specialist",5,23.5
2,7,"Visualization Specialist",5,25
3,7,"Visualization Specialist",5,26.5
4,7,"Visualization Specialist",5,28
5,7,"Visualization Specialist",5,29.5
1,8,"Visualization Specialist",5,22
2,8,"Visualization Specialist",5,23.5
3,8,"Visualization Specialist",5,25
4,8,"Visualization Specialist",5,26.5
5,8,"Visualization Specialist",5,28
1,9,"Visualization Specialist",5,19.5
2,9,"Visualization Specialist",5,21
3,9,"Visualization Specialist",5,22.5
4,9,"Visualization Specialist",5,24
5,9,"Visualization Specialist",5,25.5
1,10,"Visualization Specialist",5,16
2,10,"Visualization Specialist",5,17.5
3,10,"Visualization Specialist",5,19
4,10,"Visualization Specialist",5,20.5
5,10,"Visualization Specialist",5,22
1,11,"Visualization Specialist",5,11.5
2,11,"Visualization Specialist",5,13
3,11,"Visualization Specialist",5,14.5
4,11,"Visualization Specialist",5,16
5,11,"Visualization Specialist",5,17.5
1,12,"Visualization Specialist",5,6
2,12,"Visualization Specialist",5,7.5
3,12,"Visualization Specialist",5,9
4,12,"Visualization Specialist",5,10.5
5,12,"Visualization Specialist",5,12
1,1,"Insights Consultant",5,12
2,1,"Insights Consultant",5,13.5
3,1,"Insights Consultant",5,15
4,1,"Insights Consultant",5,16.5
5,1,"Insights Consultant",5,18
1,2,"Insights Consultant",5,16.5
2,2,"Insights Consultant",5,18
3,2,"Insights Consultant",5,19.5
4,2,"Insights Consultant",5,21
5,2,"Insights Consultant",5,22.5
1,3,"Insights Consultant",5,20
2,3,"Insights Consultant",5,21.5
3,3,"Insights Consultant",5,23
4,3,"Insights Consultant",5,24.5
5,3,"Insights Consultant",5,26
1,4,"Insights Consultant",5,22.5
2,4,"Insights Consultant",5,24
3,4,"Insights Consultant",5,25.5
4,4,"Insights Consultant",5,27
5,4,"Insights Consultant",5,28.5
1,5,"Insights Consultant",5,24
2,5,"Insights Consultant",5,25.5
3,5,"Insights Consultant",5,27
4,5,"Insights Consultant",5,28.5
5,5,"Insights Consultant",5,30
1,6,"Insights Consultant",5,24.5
2,6,"Insights Consultant",5,26
3,6,"Insights Consultant",5,27.5
4,6,"Insights Consultant",5,29
5,6,"Insights Consultant",5,30.5
1,7,"Insights Consultant",5,24
2,7,"Insights Consultant",5,25.5
3,7,"Insights Consultant",5,27
4,7,"Insights Consultant",5,28.5
5,7,"Insights Consultant",5,30
1,8,"Insights Consultant",5,22.5
2,8,"Insights Consultant",5,24
3,8,"Insights Consultant",5,25.5
4,8,"Insights Consultant",5,27
5,8,"Insights Consultant",5,28.5
1,9,"Insights Consultant",5,20
2,9,"Insights Consultant",5,21.5
3,9,"Insights Consultant",5,23
4,9,"Insights Consultant",5,24.5
5,9,"Insights Consultant",5,26
1,10,"Insights Consultant",5,16.5
2,10,"Insights Consultant",5,18
3,10,"Insights Consultant",5,19.5
4,10,"Insights Consultant",5,21
5,10,"Insights Consultant",5,22.5
1,11,"Insights Consultant",5,12
2,11,"Insights Consultant",5,13.5
3,11,"Insights Consultant",5,15
4,11,"Insights Consultant",5,16.5
5,11,"Insights Consultant",5,18
1,12,"Insights Consultant",5,6.5
2,12,"Insights Consultant",5,8
3,12,"Insights Consultant",5,9.5
4,12,"Insights Consultant",5,11
5,12,"Insights Consultant",5,12.5
1,1,"People Scientist",6,5.2
2,1,"People Scientist",6,6.7
3,1,"People Scientist",6,8.2
4,1,"People Scientist",6,9.7
5,1,"People Scientist",6,11.2
1,2,"People Scientist",6,9.7
2,2,"People Scientist",6,11.2
3,2,"People Scientist",6,12.7
4,2,"People Scientist",6,14.2
5,2,"People Scientist",6,15.7
1,3,"People Scientist",6,13.2
2,3,"People Scientist",6,14.7
3,3,"People Scientist",6,16.2
4,3,"People Scientist",6,17.7
5,3,"People Scientist",6,19.2
1,4,"People Scientist",6,15.7
2,4,"People Scientist",6,17.2
3,4,"People Scientist",6,18.7
4,4,"People Scientist",6,20.2
5,4,"People Scientist",6,21.7
1,5,"People Scientist",6,17.2
2,5,"People Scientist",6,18.7
3,5,"People Scientist",6,20.2
4,5,"People Scientist",6,21.7
5,5,"People Scientist",6,23.2
1,6,"People Scientist",6,17.7
2,6,"People Scientist",6,19.2
3,6,"People Scientist",6,20.7
4,6,"People Scientist",6,22.2
5,6,"People Scientist",6,23.7
1,7,"People Scientist",6,17.2
2,7,"People Scientist",6,18.7
3,7,"People Scientist",6,20.2
4,7,"People Scientist",6,21.7
5,7,"People Scientist",6,23.2
1,8,"People Scientist",6,15.7
2,8,"People Scientist",6,17.2
3,8,"People Scientist",6,18.7
4,8,"People Scientist",6,20.2
5,8,"People Scientist",6,21.7
1,9,"People Scientist",6,13.2
2,9,"People Scientist",6,14.7
3,9,"People Scientist",6,16.2
4,9,"People Scientist",6,17.7
5,9,"People Scientist",6,19.2
1,10,"People Scientist",6,9.7
2,10,"People Scientist",6,11.2
3,10,"People Scientist",6,12.7
4,10,"People Scientist",6,14.2
5,10,"People Scientist",6,15.7
1,11,"People Scientist",6,5.2
2,11,"People Scientist",6,6.7
3,11,"People Scientist",6,8.2
4,11,"People Scientist",6,9.7
5,11,"People Scientist",6,11.2
